name,entry_id,formationenergy_id,duplicate_entry_id,icsd_id,prototype,spacegroup,composition_generic,ntypes,natoms,volume_A3,formation_energy_eV_per_atom,stability_eV_per_atom,band_gap_eV,fit,calculation_label,unit_cell_json,sites_json
P,20541,4061388,16720.0,162243.0,,Cmmm,A,1,1,14.5944,0.132542896904759,0.132542896904759,0.0,standard,static,"[[-2.443815, 0.0, 0.0], [0.0, 1.736212, 1.719834], [0.0, 1.736212, -1.719834]]","[""P @ 0 0 0""]"
Na,8534,4061391,8534.0,44757.0,W,Im-3m,A,1,1,33.1271,0.00305485000000005,0.00305485000000005,0.0,standard,static,"[[2.023211, 2.023211, 2.023211], [2.023211, -2.023211, -2.023211], [-2.023211, 2.023211, -2.023211]]","[""Na @ 0 0 0""]"
Fe,8568,4061394,8568.0,44863.0,W,Im-3m,A,1,1,11.1914,0.0,0.0,0.0,standard,static,"[[1.4091, 1.4091, 1.4091], [1.4091, -1.4091, -1.4091], [-1.4091, 1.4091, -1.4091]]","[""Fe @ 0 0 0""]"
Np,13705,4061397,13705.0,76262.0,W,Im-3m,A,1,1,17.567,0.44372416125,0.44372416125,0.0,standard,static,"[[1.637617, 1.637617, 1.637617], [1.637617, -1.637617, -1.637617], [-1.637617, 1.637617, -1.637617]]","[""Np @ 0 0 0""]"
Mg,8597,4061400,8597.0,44924.0,W,Im-3m,A,1,1,22.8362,0.0288302008333299,0.0288302008333299,0.0,standard,static,"[[1.78726, 1.78726, 1.78726], [1.78726, -1.78726, -1.78726], [-1.78726, 1.78726, -1.78726]]","[""Mg @ 0 0 0""]"
Li,17585,4061403,17585.0,104737.0,W,Im-3m,A,1,1,18.1678,0.00337198999999999,0.00337198999999999,0.0,standard,static,"[[1.656079, 1.656079, -1.656079], [1.656079, -1.656079, 1.656079], [-1.656079, -1.656079, -1.656079]]","[""Li @ 0 0 0""]"
MnAu,19150,4061406,19149.0,109349.0,HgMn,P4/mmm,AB,2,2,33.1826,-0.0129459318965504,0.07105441155172511,0.0,standard,static,"[[3.246105, 0.0, 0.0], [0.0, 3.246105, 0.0], [0.0, 0.0, 3.149087]]","[""Au @ 0 0 0"", ""Mn @ 0.5 0.5 0.5""]"
VFe,30264,4061409,30264.0,634034.0,CsCl,Pm-3m,AB,2,2,23.5689,-0.124237709999999,0.032777015625000405,0.0,standard,static,"[[2.867122, 0.0, 0.0], [0.0, 2.867122, 0.0], [0.0, 0.0, 2.867122]]","[""Fe @ 0 0 0"", ""V @ 0.5 0.5 0.5""]"
TaRu,31032,4061412,31032.0,650690.0,CsCl,Pm-3m,AB,2,2,31.9855,-0.28299528,0.07279751166666798,0.0,standard,static,"[[3.174323, 0.0, 0.0], [0.0, 3.174323, 0.0], [0.0, 0.0, 3.174323]]","[""Ru @ 0 0 0"", ""Ta @ 0.5 0.5 0.5""]"
Ge,22272,4061415,22272.0,181072.0,W,Im-3m,A,1,1,19.093,0.343545185,0.343545185,0.0,standard,static,"[[1.683727, 1.683727, 1.683727], [1.683727, -1.683727, -1.683727], [-1.683727, 1.683727, -1.683727]]","[""Ge @ 0 0 0""]"
